Wavelength	Intensities	
nm	a.u.	
179.22	1929.7	
179.44	1933.6	
179.65	1925.8	
179.86	1941.5	
180.08	1903.2	
180.29	5087.2	
180.51	3534.1	
180.72	5687.9	
180.94	6683.2	
181.15	3329.3	
181.37	3201.7	
181.58	5546.6	
181.79	5844.2	
182.01	3437.9	
182.22	3758	
182.44	5896.1	
182.65	4859.1	
182.87	4693.9	
183.08	4025.6	
183.29	6134.3	
183.51	5055.8	
183.72	3716.4	
183.94	5440.8	
184.15	5466	
184.37	5469.4	
184.58	3267.9	
184.79	4533.5	
185.01	5035.3	
185.22	5920.7	
185.44	4748.6	
185.65	4014.7	
185.86	5392.3	
186.08	4975.9	
186.29	3177.1	
186.51	3452.2	
186.72	5084.4	
186.94	6029.2	
187.15	3994.9	
187.36	4119.8	
187.58	7919.5	
187.79	5629.9	
188.01	4355.3	
188.22	6716.7	
188.43	6764.4	
188.65	5813.5	
188.86	3373.7	
189.08	4115.1	
189.29	5270.1	
189.5	5279.7	
189.72	3848.1	
189.93	3871.3	
190.15	6083.1	
190.36	7280.5	
190.57	4232.5	
190.79	4044.1	
191	6139.8	
191.22	6038.8	
191.43	4236.6	
191.64	3383.2	
191.86	6384.9	
192.07	6049.7	
192.29	3598.3	
192.5	3798.3	
192.71	6084.5	
192.93	5203.2	
193.14	3759.4	
193.35	3874.8	
193.57	5244.8	
193.78	6081.1	
194	3037.1	
194.21	3748.5	
194.42	4936.3	
194.64	5515.9	
194.85	4140.3	
195.07	4854.4	
195.28	5549.3	
195.49	4717.8	
195.71	5086.5	
195.92	3526.6	
196.13	5700.2	
196.35	5790.3	
196.56	5392.3	
196.78	4037.2	
196.99	7202.7	
197.2	6782.2	
197.42	4717.8	
197.63	4129.4	
197.84	4874.8	
198.06	5664.7	
198.27	3771.7	
198.48	5118.6	
198.7	5219.6	
198.91	5327.4	
199.13	4117.8	
199.34	4189.5	
199.55	5903.6	
199.77	4707.6	
199.98	3629.7	
200.19	4198.3	
200.41	5379.3	
200.62	5127.4	
200.83	4350.6	
201.05	4681	
201.26	5356.8	
201.47	5093.3	
201.69	3695.9	
201.9	3544.4	
202.11	5425.1	
202.33	6509.1	
202.54	3893.2	
202.76	4386.1	
202.97	5628.5	
203.18	5609.4	
203.4	4283	
203.61	4220.9	
203.82	5537	
