Wavelength	Intensities	
nm	a.u.	
179.22	1948.8	
179.44	1940.5	
179.65	1957.2	
179.86	1923.7	
180.08	1925.1	
180.29	5014.8	
180.51	3537.5	
180.72	5714.5	
180.94	6722.1	
181.15	3292.5	
181.37	3237.8	
181.58	5554.1	
181.79	5877	
182.01	3470.6	
182.22	3725.3	
182.44	5829.2	
182.65	4868.7	
182.87	4685.8	
183.08	4070.7	
183.29	6119.3	
183.51	5070.8	
183.72	3704.1	
183.94	5433.9	
184.15	5479.7	
184.37	5472.9	
184.58	3280.8	
184.79	4565.6	
185.01	5036	
185.22	5769.8	
185.44	4772.4	
185.65	3958	
185.86	5352	
186.08	4965.6	
186.29	3161.4	
186.51	3383.2	
186.72	5067.4	
186.94	6028.5	
187.15	3952.6	
187.36	4072	
187.58	7892.2	
187.79	5565	
188.01	4311.7	
188.22	6716	
188.43	6713.9	
188.65	5788.9	
188.86	3358	
189.08	4085.7	
189.29	5244.2	
189.5	5270.1	
189.72	3806.5	
189.93	3896.6	
190.15	6065.4	
190.36	7198.6	
190.57	4209.9	
190.79	4015.4	
191	6155.5	
191.22	6131.6	
191.43	4162.2	
191.64	3364.1	
191.86	6343.2	
192.07	6128.2	
192.29	3561.4	
192.5	3779.2	
192.71	6063.4	
192.93	5209.3	
193.14	3723.2	
193.35	3831.7	
193.57	5176.6	
193.78	6072.2	
194	3050.1	
194.21	3755.3	
194.42	4979.3	
194.64	5461.9	
194.85	4112.3	
195.07	4804.5	
195.28	5507	
195.49	4728.1	
195.71	5112.4	
195.92	3527.3	
196.13	5653.1	
196.35	5827.2	
196.56	5399.1	
196.78	4113	
196.99	7088.7	
197.2	6699.6	
197.42	4683	
197.63	4150.5	
197.84	4872.8	
198.06	5669.5	
198.27	3796.9	
198.48	5046.2	
198.7	5241.4	
198.91	5403.2	
199.13	4109.6	
199.34	4177.2	
199.55	5836	
199.77	4730.1	
199.98	3650.2	
200.19	4182	
200.41	5352	
200.62	5038.7	
200.83	4358.8	
201.05	4632.5	
201.26	5347.2	
201.47	5113.8	
201.69	3632.4	
201.9	3517.7	
202.11	5439.4	
202.33	6452.5	
202.54	3929.4	
202.76	4405.9	
202.97	5560.9	
203.18	5584.8	
203.4	4285.7	
203.61	4191.5	
203.82	5537.7	
204.04	5177.9	
204.25	4210.6	
204.46	4075.5	
204.68	5519.3	
204.89	5680.4	
205.1	4063.2	
205.32	3499.3	
205.53	5874.3	
205.74	6032	
205.96	2953.9	
206.17	4244.1	
206.38	5863.3	
206.6	5978	
206.81	4788.2	
207.02	3835.2	
207.24	5773.9	
207.45	6119.3	
207.66	3900.7	
207.88	3339.6	
208.09	5670.1	
208.3	5429.2	
208.52	3549.1	
208.73	4006.5	
208.94	5451	
209.15	6191	
209.37	3891.1	
209.58	4109.6	
209.79	6047	
210.01	5233.9	
210.22	3141.6	
210.43	3274	
210.65	5487.2	
210.86	5907	
211.07	3967.6	
211.29	3564.8	
211.5	5801.2	
211.71	5429.2	
211.93	3614	
212.14	3578.5	
212.35	5380	
212.56	5627.8	
212.78	4199	
212.99	3411.9	
213.2	6466.8	
213.42	5195	
213.63	3741.6	
213.84	3984	
214.06	4868.7	
214.27	4975.9	
214.48	3915	
214.69	4136.2	
214.91	6163	
215.12	6214.2	
215.33	4270.7	
215.55	4676.2	
215.76	6769.2	
215.97	5895.4	
216.18	4082.3	
216.4	3964.2	
216.61	5169.8	
216.82	5977.3	
217.04	3630.4	
217.25	3771.7	
217.46	6173.9	
217.67	5890.6	
217.89	3272	
218.1	3364.8	
218.31	5547.3	
218.53	5706.3	
218.74	3814	
218.95	3703.4	
219.16	5373.2	
219.38	6367.8	
219.59	3685	
219.8	4457.7	
220.01	7138.5	
220.23	5481.7	
220.44	4835.3	
220.65	3569.6	
220.87	5559.6	
221.08	6125.5	
221.29	3312.9	
221.5	4473.4	
221.72	7571.3	
221.93	5176.6	
222.14	4146.5	
222.35	4937.7	
222.57	5551.4	
222.78	5864	
222.99	3899.3	
223.2	4265.2	
223.42	5776.6	
223.63	5927.5	
223.84	3011.9	
224.05	2979.1	
224.27	7017	
224.48	6378.1	
224.69	4926.7	
224.9	4171.7	
225.12	5653.8	
225.33	5492	
225.54	3260.4	
225.75	3703.4	
225.97	5025.7	
226.18	5314.5	
226.39	4018.1	
226.6	3698.6	
226.82	5240.1	
227.03	5068.7	
227.24	4213.4	
227.45	3405.8	
227.67	5828.5	
227.88	6421.7	
228.09	4646.2	
228.3	4704.9	
228.52	6014.2	
228.73	5419.6	
228.94	3817.4	
229.15	3411.2	
229.36	5378	
229.58	5268.7	
229.79	3859.1	
230	4524.6	
230.21	6587.6	
230.43	5543.2	
230.64	4061.1	
230.85	4267.3	
231.06	5940.5	
231.28	5869.5	
231.49	3385.3	
231.7	4005.1	
231.91	5778	
232.12	5519.3	
232.34	3482.2	
232.55	4006.5	
232.76	6095.4	
232.97	5682.4	
233.18	3605.1	
233.4	4065.9	
233.61	5657.2	
233.82	5352.7	
234.03	3808.5	
234.25	3647.4	
234.46	7634.8	
234.67	5528.8	
234.88	4235.2	
235.09	3641.3	
235.31	5848.3	
235.52	5360.9	
235.73	4081.6	
235.94	3485.6	
236.15	5187.5	
236.37	6681.8	
236.58	3652.9	
236.79	3932.8	
237	5705.6	
237.21	4945.8	
237.43	4206.5	
237.64	3341.6	
237.85	10049	
238.06	4983.4	
238.27	4289.1	
238.48	3446	
238.7	5787.6	
238.91	5310.4	
239.12	3921.2	
239.33	3954.6	
239.54	5055.1	
239.76	5343.8	
239.97	3894.6	
240.18	3949.2	
240.39	6906.4	
240.6	5761.6	
240.82	4111	
241.03	3412.6	
241.24	5520	
241.45	6362.4	
241.66	3591.5	
241.87	4336.2	
242.09	6224.5	
242.3	6597.9	
242.51	4343.1	
242.72	3940.3	
242.93	5935.7	
243.14	5397.8	
243.36	4547.2	
243.57	4954.7	
243.78	6261.3	
243.99	5851	
244.2	3963.5	
244.41	3542.3	
244.63	5005.2	
244.84	5763	
245.05	4258.4	
245.26	3986.7	
245.47	5760.3	
245.68	6039.5	
245.9	5345.9	
246.11	4210.6	
246.32	5304.2	
246.53	5737.7	
246.74	6462.7	
246.95	3339.6	
247.16	4916.5	
247.38	5504.3	
247.59	3316.3	
247.8	3928	
248.01	5150.6	
248.22	5459.9	
248.43	3531.4	
248.64	3871.3	
248.86	4825.7	
249.07	5193.6	
249.28	3484.3	
249.49	4063.2	
249.7	6056.5	
249.91	6266.8	
250.12	3272.7	
250.34	3308.2	
250.55	5595.1	
250.76	5473.5	
250.97	4042.7	
251.18	4137.6	
251.39	6141.2	
251.6	5654.4	
251.81	4246.8	
252.03	4158.1	
252.24	5152.7	
252.45	5944.6	
252.66	3446.7	
252.87	4410.6	
253.08	5508.4	
253.29	7343.3	
253.5	3423.5	
253.72	4829.1	
253.93	5330.2	
