Set	Azimutal	Elevation	Time	Error_Time	Concentration	Error_Concentration	SCD	Error_SCD	Shift	Error_Shift	Squeeze	Error_Squeeze
1	0	0	0 days 08:00:08	0 days 00:00:01	714.977	395.619	8579720.0	4.74743	500000.0	165.624	-1000.0	0.414412
1	0	30	0 days 08:01:14	0 days 00:00:01	-102.061	217.229	-1224730.0	2.60675	500000.0	637.978	-1000.0	1.59631
1	0	75	0 days 08:02:20	0 days 00:00:01	-611.11	130.5	-7333320.0	1.566	500000.0	64.0086	-1000.0	0.160158
1	30	0	0 days 08:00:14	0 days 00:00:01	-438.404	229.419	-5260840.0	2.75302	500000.0	156.856	-1000.0	0.392475
1	30	15	0 days 08:01:08	0 days 00:00:01	91.0104	221.054	1092120.0	2.65265	500000.0	728.038	-1000.0	1.82165
1	30	30	0 days 08:01:20	0 days 00:00:01	142.482	250.669	1709790.0	3.00802	500000.0	527.334	-1000.0	1.31946
1	30	60	0 days 08:02:14	0 days 00:00:01	-1327.8	240.951	-15933500.0	2.89142	500000.0	54.3932	-1000.0	0.136099
1	30	75	0 days 08:02:26	0 days 00:00:01	-152.502	218.423	-1830020.0	2.62108	500000.0	429.308	-1000.0	1.07419
1	30	90	0 days 08:03:20	0 days 00:00:01	-812.395	144.473	-9748730.0	1.73368	500000.0	53.3048	-1000.0	0.133376
1	60	0	0 days 08:00:20	0 days 00:00:01	-229.811	194.29	-2757730.0	2.33147	500000.0	253.411	-1000.0	0.634069
1	60	15	0 days 08:01:02	0 days 00:00:01	-281.839	270.992	-3382070.0	3.2519	500000.0	288.205	-1000.0	0.721128
1	60	30	0 days 08:01:26	0 days 00:00:01	-182.429	201.39	-2189140.0	2.41668	500000.0	330.895	-1000.0	0.827945
1	60	60	0 days 08:02:08	0 days 00:00:01	-981.455	179.531	-11777500.0	2.15437	500000.0	54.8296	-1000.0	0.137191
1	60	75	0 days 08:02:32	0 days 00:00:01	-907.213	185.823	-10886600.0	2.22988	500000.0	61.3956	-1000.0	0.15362
1	60	90	0 days 08:03:14	0 days 00:00:01	-968.813	258.511	-11625800.0	3.10213	500000.0	79.9806	-1000.0	0.200122
1	90	0	0 days 08:00:26	0 days 00:00:01	-157.288	242.779	-1887450.0	2.91335	500000.0	462.66	-1000.0	1.15764
1	90	15	0 days 08:00:56	0 days 00:00:01	-357.592	175.068	-4291110.0	2.10082	500000.0	146.745	-1000.0	0.367177
1	90	30	0 days 08:01:32	0 days 00:00:01	-554.976	185.506	-6659710.0	2.22608	500000.0	100.192	-1000.0	0.250693
1	90	60	0 days 08:02:02	0 days 00:00:01	-931.227	156.74	-11174700.0	1.88088	500000.0	50.451	-1000.0	0.126235
1	90	75	0 days 08:02:38	0 days 00:00:01	-1333.32	276.177	-15999900.0	3.31414	500000.0	62.0802	-1000.0	0.155325
1	90	90	0 days 08:03:08	0 days 00:00:01	-1147.44	153.942	-13769300.0	1.84731	500000.0	40.2137	-1000.0	0.10062
