Set	Azimutal	Elevation	Time	Error_Time	Concentration	Error_Concentration	SCD	Error_SCD	Shift	Error_Shift	Squeeze	Error_Squeeze
1	0	0	0 days 08:00:08	0 days 00:00:01	-2.26211	22.818	-27145.3	0.273816	500000.0	2180.73	-1000.0	5.45812
1	0	30	0 days 08:01:14	0 days 00:00:01	58.9193	12.5119	707032.0	0.150143	500000.0	46.035	-1000.0	0.115219
1	0	75	0 days 08:02:20	0 days 00:00:01	-84.3504	7.51651	-1012200.0	0.0901982	500000.0	19.3175	-1000.0	0.0483489
1	30	0	0 days 08:00:14	0 days 00:00:01	86.0079	13.214	1032090.0	0.158568	500000.0	33.3057	-1000.0	0.0833591
1	30	15	0 days 08:01:08	0 days 00:00:01	19.5444	12.7322	234533.0	0.152786	500000.0	141.222	-1000.0	0.353459
1	30	30	0 days 08:01:20	0 days 00:00:01	8.36735	14.4379	100408.0	0.173255	500000.0	374.058	-1000.0	0.936212
1	30	60	0 days 08:02:14	0 days 00:00:01	-53.9423	13.8782	-647307.0	0.166539	500000.0	55.7735	-1000.0	0.139593
1	30	75	0 days 08:02:26	0 days 00:00:01	-49.8479	12.5807	-598175.0	0.150968	500000.0	54.7116	-1000.0	0.136935
1	30	90	0 days 08:03:20	0 days 00:00:01	-92.4704	8.32131	-1109650.0	0.0998557	500000.0	19.5079	-1000.0	0.0488255
1	60	0	0 days 08:00:20	0 days 00:00:01	91.4189	11.1906	1097030.0	0.134287	500000.0	26.5363	-1000.0	0.0664165
1	60	15	0 days 08:01:02	0 days 00:00:01	72.1765	15.6085	866118.0	0.187302	500000.0	46.88	-1000.0	0.117334
1	60	30	0 days 08:01:26	0 days 00:00:01	14.4888	11.5996	173865.0	0.139195	500000.0	173.553	-1000.0	0.434378
1	60	60	0 days 08:02:08	0 days 00:00:01	-64.4487	10.3406	-773384.0	0.124087	500000.0	34.7818	-1000.0	0.0870538
1	60	75	0 days 08:02:32	0 days 00:00:01	-78.4596	10.703	-941516.0	0.128436	500000.0	29.572	-1000.0	0.0740144
1	60	90	0 days 08:03:14	0 days 00:00:01	-97.6056	14.8896	-1171270.0	0.178675	500000.0	33.0698	-1000.0	0.0827687
1	90	0	0 days 08:00:26	0 days 00:00:01	66.9813	13.9835	803776.0	0.167802	500000.0	45.2569	-1000.0	0.113271
1	90	15	0 days 08:00:56	0 days 00:00:01	50.9169	10.0835	611003.0	0.121002	500000.0	42.9311	-1000.0	0.10745
1	90	30	0 days 08:01:32	0 days 00:00:01	59.2284	10.6847	710741.0	0.128217	500000.0	39.1072	-1000.0	0.0978795
1	90	60	0 days 08:02:02	0 days 00:00:01	-96.0032	9.02784	-1152040.0	0.108334	500000.0	20.3855	-1000.0	0.0510218
1	90	75	0 days 08:02:38	0 days 00:00:01	-25.0178	15.9518	-300216.0	0.191423	500000.0	137.624	-1000.0	0.344433
1	90	90	0 days 08:03:08	0 days 00:00:01	-51.5022	8.86672	-618027.0	0.106401	500000.0	37.3216	-1000.0	0.0934103
1	120	0	0 days 08:00:32	0 days 00:00:01	99.7421	18.6967	1196900.0	0.224361	500000.0	40.6359	-1000.0	0.101706
1	120	15	0 days 08:00:50	0 days 00:00:01	24.8017	10.702	297620.0	0.128423	500000.0	93.5416	-1000.0	0.234121
1	120	30	0 days 08:01:38	0 days 00:00:01	7.65855	8.38233	91902.5	0.100588	500000.0	237.269	-1000.0	0.593849
1	120	60	0 days 08:01:56	0 days 00:00:01	-75.7093	10.3365	-908512.0	0.124039	500000.0	29.5971	-1000.0	0.0740771
1	120	75	0 days 08:02:44	0 days 00:00:01	-42.8927	8.93704	-514713.0	0.107244	500000.0	45.1682	-1000.0	0.113049
1	120	90	0 days 08:03:02	0 days 00:00:01	-104.941	9.55395	-1259300.0	0.114647	500000.0	19.736	-1000.0	0.0493962
1	150	0	0 days 08:00:38	0 days 00:00:01	42.9795	11.5496	515754.0	0.138595	500000.0	58.2542	-1000.0	0.145802
1	150	15	0 days 08:00:44	0 days 00:00:01	79.2112	14.3169	950535.0	0.171803	500000.0	39.1819	-1000.0	0.0980664
