Set	Azimutal	Elevation	Time	Error_Time	Concentration	Error_Concentration	SCD	Error_SCD	Shift	Error_Shift	Squeeze	Error_Squeeze
1	0	0	0 days 08:00:08	0 days 00:00:01	2.00332e+29	5.900139999999999e+28	2.40399e+33	7.08016e+26	500000.0	5084.95	-1000.0	13.3637
1	0	30	0 days 08:01:14	0 days 00:00:01	2.4469499999999998e+29	3.2411499999999996e+28	2.93634e+33	3.88938e+26	500000.0	2284.83	-1000.0	6.0048
1	0	75	0 days 08:02:20	0 days 00:00:01	5.2407199999999995e+28	1.9471199999999997e+28	6.2888600000000004e+32	2.33654e+26	500000.0	6408.89	-1000.0	16.8433
1	30	0	0 days 08:00:14	0 days 00:00:01	2.59438e+29	3.4230199999999995e+28	3.1132499999999996e+33	4.10763e+26	500000.0	2275.92	-1000.0	5.98138
1	30	15	0 days 08:01:08	0 days 00:00:01	-6.37416e+28	3.29822e+28	-7.64899e+32	3.95786e+26	500000.0	8925.6	-1000.0	23.4575
1	30	30	0 days 08:01:20	0 days 00:00:01	-1.58093e+28	3.7400799999999997e+28	-1.89711e+32	4.48809e+26	500000.0	40808.4	-1000.0	107.249
1	30	60	0 days 08:02:14	0 days 00:00:01	2.9949799999999998e+28	3.59509e+28	3.59397e+32	4.31411e+26	500000.0	20706.1	-1000.0	54.4179
1	30	75	0 days 08:02:26	0 days 00:00:01	1.50596e+29	3.2589599999999998e+28	1.80715e+33	3.91076e+26	500000.0	3732.91	-1000.0	9.8105
1	30	90	0 days 08:03:20	0 days 00:00:01	1.32701e+29	2.1556e+28	1.59242e+33	2.58672e+26	500000.0	2802.03	-1000.0	7.36406
1	60	0	0 days 08:00:20	0 days 00:00:01	1.59191e+29	2.8988799999999998e+28	1.9102899999999998e+33	3.47866e+26	500000.0	3141.19	-1000.0	8.2554
1	60	15	0 days 08:01:02	0 days 00:00:01	1.16557e+29	4.04331e+28	1.3986899999999998e+33	4.85197e+26	500000.0	5983.82	-1000.0	15.7262
1	60	30	0 days 08:01:26	0 days 00:00:01	8.20721e+28	3.0048199999999997e+28	9.84866e+32	3.60578e+26	500000.0	6315.44	-1000.0	16.5977
1	60	60	0 days 08:02:08	0 days 00:00:01	9.466509999999999e+28	2.6786799999999998e+28	1.13598e+33	3.21441e+26	500000.0	4881.03	-1000.0	12.8279
1	60	75	0 days 08:02:32	0 days 00:00:01	2.9329199999999997e+28	2.7725599999999997e+28	3.51951e+32	3.32707e+26	500000.0	16306.5	-1000.0	42.8554
1	60	90	0 days 08:03:14	0 days 00:00:01	-8.4589e+28	3.8570799999999995e+28	-1.01507e+33	4.6285e+26	500000.0	7865.5	-1000.0	20.6714
1	90	0	0 days 08:00:26	0 days 00:00:01	8.75282e+28	3.6223599999999996e+28	1.05034e+33	4.34684e+26	500000.0	7138.79	-1000.0	18.7615
1	90	15	0 days 08:00:56	0 days 00:00:01	1.36087e+29	2.61209e+28	1.6330499999999998e+33	3.1345e+26	500000.0	3310.93	-1000.0	8.7015
1	90	30	0 days 08:01:32	0 days 00:00:01	1.13884e+29	2.7678299999999996e+28	1.3666e+33	3.3214e+26	500000.0	4192.37	-1000.0	11.018
1	90	60	0 days 08:02:02	0 days 00:00:01	9.386189999999999e+28	2.3386199999999997e+28	1.1263399999999999e+33	2.80634e+26	500000.0	4297.85	-1000.0	11.2952
1	90	75	0 days 08:02:38	0 days 00:00:01	2.195e+29	4.17408e+28	2.63402e+33	5.00893e+26	500000.0	3227.94	-1000.0	8.48339
1	90	90	0 days 08:03:08	0 days 00:00:01	1.01449e+29	2.2968799999999998e+28	1.2173899999999999e+33	2.75626e+26	500000.0	3905.46	-1000.0	10.264
1	120	0	0 days 08:00:32	0 days 00:00:01	3.7856299999999996e+28	4.8433e+28	4.54275e+32	5.81196e+26	500000.0	22069.1	-1000.0	58.0
1	120	15	0 days 08:00:50	0 days 00:00:01	-4.30098e+28	2.77229e+28	-5.16118e+32	3.32675e+26	500000.0	11118.7	-1000.0	29.2211
1	120	30	0 days 08:01:38	0 days 00:00:01	1.05557e+29	2.17141e+28	1.26669e+33	2.60569e+26	500000.0	3548.41	-1000.0	9.32563
1	120	60	0 days 08:01:56	0 days 00:00:01	2.63094e+29	2.6776299999999997e+28	3.15713e+33	3.21316e+26	500000.0	1755.58	-1000.0	4.61386
1	120	75	0 days 08:02:44	0 days 00:00:01	1.63212e+29	2.3151e+28	1.95855e+33	2.77812e+26	500000.0	2446.8	-1000.0	6.43045
1	120	90	0 days 08:03:02	0 days 00:00:01	6.35838e+28	2.4749099999999998e+28	7.63006e+32	2.96989e+26	500000.0	6714.18	-1000.0	17.6456
1	150	0	0 days 08:00:38	0 days 00:00:01	1.41073e+29	2.9918699999999996e+28	1.69288e+33	3.59024e+26	500000.0	3658.29	-1000.0	9.61441
1	150	15	0 days 08:00:44	0 days 00:00:01	-2.9365399999999997e+28	3.70873e+28	-3.52385e+32	4.45048e+26	500000.0	21785.6	-1000.0	57.2551
1	150	30	0 days 08:01:44	0 days 00:00:01	1.8697e+29	2.5448999999999997e+28	2.24364e+33	3.05388e+26	500000.0	2347.9	-1000.0	6.17055
1	150	60	0 days 08:01:50	0 days 00:00:01	3.32879e+29	3.29723e+28	3.9945499999999996e+33	3.95667e+26	499996.0	1587.21	-1009.99	4.17217
1	150	75	0 days 08:02:50	0 days 00:00:01	3.4777e+29	4.339819999999999e+28	4.1732299999999996e+33	5.20778e+26	499699.0	2160.15	-1732.79	5.67965
1	150	90	0 days 08:02:56	0 days 00:00:01	9.99836e+28	2.52336e+28	1.1997999999999999e+33	3.02803e+26	500000.0	4353.43	-1000.0	11.4413
2	0	0	0 days 08:06:23	0 days 00:00:01	-1.33454e+29	5.231699999999999e+28	-1.60145e+33	6.27802e+26	500000.0	6762.25	-1000.0	17.772
2	0	30	0 days 08:07:29	0 days 00:00:01	-1.6335799999999999e+28	4.86497e+28	-1.96029e+32	5.83797e+26	500000.0	51371.4	-1000.0	135.01
2	0	75	0 days 08:08:35	0 days 00:00:01	-7.24972e+27	4.01768e+28	-8.69967e+31	4.82121e+26	500000.0	95595.2	-1000.0	251.235
2	30	0	0 days 08:06:29	0 days 00:00:01	-1.14367e+29	3.7465299999999995e+28	-1.3724099999999998e+33	4.49583e+26	500000.0	5650.78	-1000.0	14.8509
2	30	15	0 days 08:07:23	0 days 00:00:01	-1.35265e+29	3.7074199999999996e+28	-1.62318e+33	4.4489e+26	500000.0	4727.9	-1000.0	12.4254
2	30	30	0 days 08:07:35	0 days 00:00:01	-1.18309e+29	4.43304e+28	-1.4197099999999998e+33	5.31965e+26	500000.0	6463.45	-1000.0	16.9867
2	30	60	0 days 08:08:29	0 days 00:00:01	-1.0864599999999999e+29	4.42381e+28	-1.30375e+33	5.30857e+26	500000.0	7023.65	-1000.0	18.4589
2	30	75	0 days 08:08:41	0 days 00:00:01	-8.83058e+27	4.936339999999999e+28	-1.05967e+32	5.92363e+26	500000.0	96426.6	-1000.0	253.42
2	30	90	0 days 08:09:35	0 days 00:00:01	1.45013e+29	2.3153199999999998e+28	1.74016e+33	2.77839e+26	500000.0	2754.14	-1000.0	7.23818
2	60	0	0 days 08:06:35	0 days 00:00:01	-2.15055e+29	4.79114e+28	-2.58066e+33	5.74937e+26	500000.0	3842.99	-1000.0	10.0998
2	60	15	0 days 08:07:17	0 days 00:00:01	-8.728169999999998e+28	5.917149999999999e+28	-1.04738e+33	7.10057e+26	500000.0	11694.2	-1000.0	30.7337
2	60	30	0 days 08:07:41	0 days 00:00:01	-8.282479999999999e+28	4.1222399999999995e+28	-9.93896e+32	4.94669e+26	500000.0	8585.27	-1000.0	22.5631
2	60	60	0 days 08:08:23	0 days 00:00:01	1.93252e+28	3.80669e+28	2.31902e+32	4.56803e+26	500000.0	33978.5	-1000.0	89.2995
2	60	75	0 days 08:08:47	0 days 00:00:01	-9.99414e+28	4.0279e+28	-1.1993e+33	4.83349e+26	500000.0	6952.08	-1000.0	18.2708
2	60	90	0 days 08:09:29	0 days 00:00:01	3.75959e+29	6.810629999999999e+28	4.51151e+33	8.17275e+26	500000.0	3071.82	-1000.0	8.07328
2	90	0	0 days 08:06:41	0 days 00:00:01	-3.05636e+29	3.5270899999999997e+28	-3.66764e+33	4.23251e+26	500000.0	1990.64	-1000.0	5.23162
2	90	15	0 days 08:07:11	0 days 00:00:01	-8.5923e+28	3.89329e+28	-1.03108e+33	4.67197e+26	500000.0	7816.07	-1000.0	20.5415
2	90	30	0 days 08:07:47	0 days 00:00:01	-1.15947e+29	4.554359999999999e+28	-1.3913599999999998e+33	5.46523e+26	500000.0	6775.63	-1000.0	17.8071
2	90	60	0 days 08:08:17	0 days 00:00:01	2.9444899999999998e+29	5.6691099999999996e+28	3.53339e+33	6.80293e+26	500000.0	3264.78	-1000.0	8.58041
2	90	75	0 days 08:08:53	0 days 00:00:01	-4.71205e+28	4.15029e+28	-5.6544500000000004e+32	4.98034e+26	500000.0	15193.2	-1000.0	39.9295
2	90	90	0 days 08:09:23	0 days 00:00:01	2.7124899999999998e+29	5.569999999999999e+28	3.25499e+33	6.68399e+26	500000.0	3485.67	-1000.0	9.16073
2	120	0	0 days 08:06:47	0 days 00:00:01	-1.40922e+29	3.06706e+28	-1.69106e+33	3.68047e+26	500000.0	3754.27	-1000.0	9.86666
2	120	15	0 days 08:07:05	0 days 00:00:01	2.89074e+28	5.4343399999999995e+28	3.46889e+32	6.52121e+26	500000.0	32427.9	-1000.0	85.2242
2	120	30	0 days 08:07:53	0 days 00:00:01	6.5420599999999994e+28	4.69317e+28	7.85048e+32	5.63181e+26	500000.0	12374.6	-1000.0	32.5219
2	120	60	0 days 08:08:11	0 days 00:00:01	5.81853e+28	5.18414e+28	6.98224e+32	6.22096e+26	500000.0	15368.9	-1000.0	40.3913
2	120	75	0 days 08:08:59	0 days 00:00:01	1.28782e+29	3.0907199999999996e+28	1.54538e+33	3.70886e+26	500000.0	4139.86	-1000.0	10.88
2	120	90	0 days 08:09:17	0 days 00:00:01	2.10936e+29	4.99548e+28	2.53124e+33	5.99458e+26	500000.0	4085.14	-1000.0	10.7362
2	150	0	0 days 08:06:53	0 days 00:00:01	-7.184139999999999e+28	5.43446e+28	-8.62097e+32	6.52136e+26	500000.0	13048.6	-1000.0	34.2931
2	150	15	0 days 08:06:59	0 days 00:00:01	1.4983899999999998e+28	4.5563899999999995e+28	1.79807e+32	5.46767e+26	500000.0	52453.8	-1000.0	137.855
2	150	30	0 days 08:07:59	0 days 00:00:01	-1.83407e+28	4.58353e+28	-2.20088e+32	5.50024e+26	500000.0	43108.8	-1000.0	113.295
2	150	60	0 days 08:08:05	0 days 00:00:01	-8.07464e+28	3.7269399999999996e+28	-9.68957e+32	4.47233e+26	500000.0	7961.77	-1000.0	20.9244
2	150	75	0 days 08:09:05	0 days 00:00:01	6.1843e+28	2.7533799999999996e+28	7.42116e+32	3.30406e+26	500000.0	7679.93	-1000.0	20.1837
2	150	90	0 days 08:09:11	0 days 00:00:01	2.39379e+29	5.3339e+28	2.87254e+33	6.40067e+26	500000.0	3843.62	-1000.0	10.1015
3	0	0	0 days 08:15:47	0 days 00:00:01	1.04737e+29	4.500649999999999e+28	1.25684e+33	5.40077e+26	500000.0	7294.16	-1000.0	19.1699
3	0	30	0 days 08:16:53	0 days 00:00:01	-2.03636e+29	2.61949e+28	-2.44363e+33	3.14339e+26	500000.0	2218.93	-1000.0	5.83161
3	0	75	0 days 08:17:59	0 days 00:00:01	-1.2319399999999999e+29	3.8566999999999996e+28	-1.47833e+33	4.62804e+26	500000.0	5400.17	-1000.0	14.1923
3	30	0	0 days 08:15:53	0 days 00:00:01	-1.14543e+29	2.03382e+28	-1.37452e+33	2.44059e+26	500000.0	3062.84	-1000.0	8.04949
3	30	15	0 days 08:16:47	0 days 00:00:01	1.62165e+28	5.416599999999999e+28	1.94598e+32	6.49992e+26	500000.0	56698.2	-1000.0	149.009
3	30	30	0 days 08:16:59	0 days 00:00:01	4.039759999999999e+28	2.9062199999999997e+28	4.84771e+32	3.48747e+26	500000.0	12409.5	-1000.0	32.6136
3	30	60	0 days 08:17:53	0 days 00:00:01	-1.2937e+29	2.9365e+28	-1.55244e+33	3.5238e+26	500000.0	3915.42	-1000.0	10.2902
3	30	75	0 days 08:18:05	0 days 00:00:01	2.3736099999999998e+29	5.16175e+28	2.84833e+33	6.19409e+26	500000.0	3687.54	-1000.0	9.6915
3	30	90	0 days 08:18:59	0 days 00:00:01	-3.20599e+27	4.4144999999999994e+28	-3.84719e+31	5.2974e+26	500000.0	237520.0	-1000.0	624.229
3	60	0	0 days 08:15:59	0 days 00:00:01	1.4304e+29	4.1381e+28	1.7164799999999998e+33	4.96571e+26	500000.0	4990.28	-1000.0	13.115
3	60	15	0 days 08:16:41	0 days 00:00:01	1.58735e+29	2.77922e+28	1.90482e+33	3.33507e+26	500000.0	3020.17	-1000.0	7.93735
3	60	30	0 days 08:17:05	0 days 00:00:01	-1.03584e+29	3.0706599999999998e+28	-1.24301e+33	3.6848e+26	500000.0	5113.52	-1000.0	13.4389
