Set	Azimutal	Elevation	Time	Error_Time	Concentration	Error_Concentration	SCD	Error_SCD	Shift	Error_Shift	Squeeze	Error_Squeeze
1	0	0	0 days 08:00:08	0 days 00:00:01	5.77777	2.01926	69333.2	0.0242311	500000.0	41.9525	-1000.0	0.107458
1	0	30	0 days 08:01:14	0 days 00:00:01	4.76212	1.10988	57145.5	0.0133185	500000.0	27.8077	-1000.0	0.0711685
1	0	75	0 days 08:02:20	0 days 00:00:01	2.2947	0.666758	27536.4	0.0080011	500000.0	34.6683	-1000.0	0.088727
1	30	0	0 days 08:00:14	0 days 00:00:01	6.36558	1.17216	76386.9	0.0140659	500000.0	21.9704	-1000.0	0.0562291
1	30	15	0 days 08:01:08	0 days 00:00:01	4.04449	1.12942	48533.9	0.013553	500000.0	33.3182	-1000.0	0.0852718
1	30	30	0 days 08:01:20	0 days 00:00:01	5.24412	1.28073	62929.4	0.0153687	500000.0	29.139	-1000.0	0.0745758
1	30	60	0 days 08:02:14	0 days 00:00:01	2.41251	1.23108	28950.2	0.014773	500000.0	60.8845	-1000.0	0.155823
1	30	75	0 days 08:02:26	0 days 00:00:01	5.78934	1.11598	69472.1	0.0133917	500000.0	22.9994	-1000.0	0.0588626
1	30	90	0 days 08:03:20	0 days 00:00:01	3.05365	0.738148	36643.8	0.00885777	500000.0	28.8413	-1000.0	0.0738139
1	60	0	0 days 08:00:20	0 days 00:00:01	6.66666	0.992672	79999.9	0.0119121	500000.0	17.7659	-1000.0	0.0454686
1	60	15	0 days 08:01:02	0 days 00:00:01	7.82271	1.38456	93872.6	0.0166148	500000.0	21.1177	-1000.0	0.0540467
1	60	30	0 days 08:01:26	0 days 00:00:01	5.84753	1.02895	70170.3	0.0123474	500000.0	20.9948	-1000.0	0.0537323
1	60	60	0 days 08:02:08	0 days 00:00:01	2.83767	0.917267	34052.1	0.0110072	500000.0	38.5677	-1000.0	0.0987069
1	60	75	0 days 08:02:32	0 days 00:00:01	6.60689	0.949415	79282.7	0.011393	500000.0	17.1455	-1000.0	0.0438806
1	60	90	0 days 08:03:14	0 days 00:00:01	5.76836	1.32079	69220.3	0.0158495	500000.0	27.3195	-1000.0	0.0699192
1	90	0	0 days 08:00:26	0 days 00:00:01	8.76014	1.24042	105122.0	0.014885	500000.0	16.8946	-1000.0	0.0432385
1	90	15	0 days 08:00:56	0 days 00:00:01	6.00619	0.894465	72074.3	0.0107336	500000.0	17.7686	-1000.0	0.0454755
1	90	30	0 days 08:01:32	0 days 00:00:01	5.54294	0.947797	66515.3	0.0113736	500000.0	20.4017	-1000.0	0.0522143
1	90	60	0 days 08:02:02	0 days 00:00:01	1.36537	0.800821	16384.5	0.00960985	500000.0	69.9801	-1000.0	0.179101
1	90	75	0 days 08:02:38	0 days 00:00:01	4.65113	1.41574	55813.9	0.016989	500000.0	36.0956	-1000.0	0.0923805
1	90	90	0 days 08:03:08	0 days 00:00:01	2.98935	0.786529	35872.2	0.00943835	500000.0	31.3927	-1000.0	0.0803438
1	120	0	0 days 08:00:32	0 days 00:00:01	8.3169	1.65851	99802.8	0.0199021	500000.0	23.7928	-1000.0	0.0608933
1	120	15	0 days 08:00:50	0 days 00:00:01	6.92047	0.949325	83045.6	0.0113919	500000.0	16.367	-1000.0	0.0418884
1	120	30	0 days 08:01:38	0 days 00:00:01	6.05097	0.743561	72611.6	0.00892273	500000.0	14.6616	-1000.0	0.0375237
1	120	60	0 days 08:01:56	0 days 00:00:01	1.97986	0.916911	23758.3	0.0110029	500000.0	55.2565	-1000.0	0.141419
1	120	75	0 days 08:02:44	0 days 00:00:01	4.31465	0.792766	51775.8	0.0095132	500000.0	21.9225	-1000.0	0.0561066
1	120	90	0 days 08:03:02	0 days 00:00:01	3.21376	0.84749	38565.1	0.0101699	500000.0	31.4639	-1000.0	0.0805259
1	150	0	0 days 08:00:38	0 days 00:00:01	6.12088	1.02451	73450.6	0.0122942	500000.0	19.9707	-1000.0	0.0511114
1	150	15	0 days 08:00:44	0 days 00:00:01	6.63297	1.26999	79595.6	0.0152399	500000.0	22.8446	-1000.0	0.0584665
1	150	30	0 days 08:01:44	0 days 00:00:01	2.95853	0.871457	35502.4	0.0104575	500000.0	35.1447	-1000.0	0.0899463
1	150	60	0 days 08:01:50	0 days 00:00:01	3.31211	1.02172	39745.3	0.0122607	499263.0	39.3962	-3014.76	0.101028
1	150	75	0 days 08:02:50	0 days 00:00:01	2.09021	1.53158	25082.5	0.018379	500476.0	91.9313	308.899	0.235734
1	150	90	0 days 08:02:56	0 days 00:00:01	3.90947	0.864082	46913.6	0.010369	500000.0	26.3711	-1000.0	0.0674919
2	0	0	0 days 08:06:23	0 days 00:00:01	-2.14548	1.79151	-25745.6	0.021498	500000.0	99.629	-1000.0	0.254982
