Set	Azimutal	Elevation	Time	Error_Time	Concentration	Error_Concentration	Shift	Error_Shift	Squeeze	Error_Squeeze
1	0	0	0 days 08:00:08	0 days 00:00:01	1.79933e-25	2.98835e-24	-0.001	5.45812	-0.001	5.45812
1	0	30	0 days 08:01:14	0 days 00:00:01	-1.6541600000000002e-24	1.6419400000000001e-24	-0.001	0.115219	-0.001	0.115219
1	0	75	0 days 08:02:20	0 days 00:00:01	-8.88434e-25	9.86393e-25	-0.001	0.0483489	-0.001	0.0483489
1	30	0	0 days 08:00:14	0 days 00:00:01	-1.84691e-24	1.73407e-24	-0.001	0.0833591	-0.001	0.0833591
1	30	15	0 days 08:01:08	0 days 00:00:01	4.14692e-25	1.6708500000000003e-24	-0.001	0.353459	-0.001	0.353459
1	30	30	0 days 08:01:20	0 days 00:00:01	2.25861e-25	1.8946900000000003e-24	-0.001	0.936212	-0.001	0.936212
1	30	60	0 days 08:02:14	0 days 00:00:01	-1.3851e-24	1.82124e-24	-0.001	0.139593	-0.001	0.139593
1	30	75	0 days 08:02:26	0 days 00:00:01	-3.9387899999999997e-25	1.6509600000000002e-24	-0.001	0.136935	-0.001	0.136935
1	30	90	0 days 08:03:20	0 days 00:00:01	-1.2479400000000002e-24	1.0920100000000001e-24	-0.001	0.0488255	-0.001	0.0488255
1	60	0	0 days 08:00:20	0 days 00:00:01	-9.20622e-25	1.4685500000000002e-24	-0.001	0.0664165	-0.001	0.0664165
1	60	15	0 days 08:01:02	0 days 00:00:01	-1.2897600000000001e-24	2.0483000000000004e-24	-0.001	0.117334	-0.001	0.117334
1	60	30	0 days 08:01:26	0 days 00:00:01	-3.86379e-25	1.5222100000000002e-24	-0.001	0.434378	-0.001	0.434378
1	60	60	0 days 08:02:08	0 days 00:00:01	-1.2805300000000001e-24	1.35699e-24	-0.001	0.0870538	-0.001	0.0870538
1	60	75	0 days 08:02:32	0 days 00:00:01	-1.1867100000000002e-24	1.4045500000000002e-24	-0.001	0.0740144	-0.001	0.0740144
1	60	90	0 days 08:03:14	0 days 00:00:01	-6.78855e-25	1.9539600000000002e-24	-0.001	0.0827687	-0.001	0.0827687
1	90	0	0 days 08:00:26	0 days 00:00:01	-1.0675700000000001e-24	1.83505e-24	-0.001	0.113271	-0.001	0.113271
1	90	15	0 days 08:00:56	0 days 00:00:01	-7.70813e-25	1.3232600000000001e-24	-0.001	0.10745	-0.001	0.10745
1	90	30	0 days 08:01:32	0 days 00:00:01	-1.0767000000000002e-24	1.4021600000000001e-24	-0.001	0.0978795	-0.001	0.0978795
1	90	60	0 days 08:02:02	0 days 00:00:01	-1.2810400000000002e-24	1.1847200000000001e-24	-0.001	0.0510218	-0.001	0.0510218
1	90	75	0 days 08:02:38	0 days 00:00:01	-2.8711700000000003e-24	2.08977e-24	-0.001	0.344433	-0.001	0.344433
1	90	90	0 days 08:03:08	0 days 00:00:01	-2.07832e-24	1.1635800000000001e-24	-0.001	0.0934103	-0.001	0.0934103
1	120	0	0 days 08:00:32	0 days 00:00:01	-4.69576e-25	2.45357e-24	-0.001	0.101706	-0.001	0.101706
1	120	15	0 days 08:00:50	0 days 00:00:01	-6.660280000000001e-26	1.4044200000000001e-24	-0.001	0.234121	-0.001	0.234121
1	120	30	0 days 08:01:38	0 days 00:00:01	-1.65243e-24	1.1000100000000001e-24	-0.001	0.593849	-0.001	0.593849
1	120	60	0 days 08:01:56	0 days 00:00:01	-1.8984700000000002e-24	1.3564700000000001e-24	-0.001	0.0740771	-0.001	0.0740771
1	120	75	0 days 08:02:44	0 days 00:00:01	-1.5244000000000001e-24	1.1728100000000001e-24	-0.001	0.113049	-0.001	0.113049
1	120	90	0 days 08:03:02	0 days 00:00:01	-1.40626e-24	1.2537700000000001e-24	-0.001	0.0493962	-0.001	0.0493962
1	150	0	0 days 08:00:38	0 days 00:00:01	-9.03636e-25	1.5156500000000002e-24	-0.001	0.145802	-0.001	0.145802
1	150	15	0 days 08:00:44	0 days 00:00:01	-4.51737e-25	1.8788100000000003e-24	-0.001	0.0980664	-0.001	0.0980664
1	150	30	0 days 08:01:44	0 days 00:00:01	-1.75532e-24	1.28922e-24	-0.001	0.272001	-0.001	0.272001
1	150	60	0 days 08:01:50	0 days 00:00:01	-1.6356600000000001e-24	1.63761e-24	-0.000837878	0.315817	-0.000837878	0.315817
1	150	75	0 days 08:02:50	0 days 00:00:01	-2.68409e-24	2.33426e-24	-0.00251501	0.361937	-0.00251501	0.361937
1	150	90	0 days 08:02:56	0 days 00:00:01	-1.24527e-24	1.27831e-24	-0.001	0.0700068	-0.001	0.0700068
2	0	0	0 days 08:06:23	0 days 00:00:01	-4.0807e-25	2.65033e-24	-0.001	0.202073	-0.001	0.202073
2	0	30	0 days 08:07:29	0 days 00:00:01	-1.6454600000000001e-24	2.4645500000000003e-24	-0.001	0.188235	-0.001	0.188235
2	0	75	0 days 08:08:35	0 days 00:00:01	3.1216e-26	2.03532e-24	-0.001	0.8593	-0.001	0.8593
2	30	0	0 days 08:06:29	0 days 00:00:01	-1.2521400000000001e-24	1.89796e-24	-0.001	0.122346	-0.001	0.122346
2	30	15	0 days 08:07:23	0 days 00:00:01	1.02647e-25	1.87814e-24	-0.001	0.0869281	-0.001	0.0869281
2	30	30	0 days 08:07:35	0 days 00:00:01	-9.35229e-25	2.24574e-24	-0.001	0.165472	-0.001	0.165472
2	30	60	0 days 08:08:29	0 days 00:00:01	5.453399999999999e-25	2.24106e-24	-0.001	1.90158	-0.001	1.90158
2	30	75	0 days 08:08:41	0 days 00:00:01	-1.5146700000000002e-24	2.5007e-24	-0.001	0.354867	-0.001	0.354867
2	30	90	0 days 08:09:35	0 days 00:00:01	-3.5782e-25	1.1729200000000001e-24	-0.001	0.172189	-0.001	0.172189
2	60	0	0 days 08:06:35	0 days 00:00:01	-1.1434200000000001e-24	2.4271500000000002e-24	-0.001	0.253043	-0.001	0.253043
2	60	15	0 days 08:07:17	0 days 00:00:01	-1.71251e-24	2.99758e-24	-0.001	6.68313	-0.001	6.68313
2	60	30	0 days 08:07:41	0 days 00:00:01	-1.58152e-25	2.08829e-24	-0.001	0.134828	-0.001	0.134828
2	60	60	0 days 08:08:23	0 days 00:00:01	1.3970799999999999e-27	1.92844e-24	-0.001	0.298079	-0.001	0.298079
2	60	75	0 days 08:08:47	0 days 00:00:01	-1.722e-25	2.0405000000000002e-24	-0.001	0.185464	-0.001	0.185464
2	60	90	0 days 08:09:29	0 days 00:00:01	-2.43788e-24	3.36332e-24	-0.001	8.75908	-0.001	8.75908
2	90	0	0 days 08:06:41	0 days 00:00:01	5.89139e-25	1.7867900000000003e-24	-0.001	0.0778821	-0.001	0.0778821
2	90	15	0 days 08:07:11	0 days 00:00:01	-9.59383e-25	1.9723100000000003e-24	-0.001	0.243351	-0.001	0.243351
2	90	30	0 days 08:07:47	0 days 00:00:01	-1.58493e-25	2.3072e-24	-0.001	1.071	-0.001	1.071
2	90	60	0 days 08:08:17	0 days 00:00:01	-1.73079e-24	2.7995900000000004e-24	-0.001	0.63164	-0.001	0.63164
2	90	75	0 days 08:08:53	0 days 00:00:01	-4.33691e-25	2.1025e-24	-0.001	0.186707	-0.001	0.186707
2	90	90	0 days 08:09:23	0 days 00:00:01	-2.60635e-24	2.78864e-24	-0.001	0.479483	-0.001	0.479483
2	120	0	0 days 08:06:47	0 days 00:00:01	-6.76247e-25	1.5537500000000001e-24	-0.001	0.0870615	-0.001	0.0870615
2	120	15	0 days 08:07:05	0 days 00:00:01	-7.40511e-25	2.7529900000000004e-24	-0.001	0.211929	-0.001	0.211929
2	120	30	0 days 08:07:53	0 days 00:00:01	-1.2354300000000002e-24	2.37752e-24	-0.001	0.281519	-0.001	0.281519
2	120	60	0 days 08:08:11	0 days 00:00:01	-1.9408200000000003e-24	2.6262400000000002e-24	-0.001	0.188133	-0.001	0.188133
2	120	75	0 days 08:08:59	0 days 00:00:01	-1.0727600000000002e-24	1.56573e-24	-0.001	0.0931894	-0.001	0.0931894
2	120	90	0 days 08:09:17	0 days 00:00:01	-8.95344e-25	2.53067e-24	-0.001	1.27553	-0.001	1.27553
2	150	0	0 days 08:06:53	0 days 00:00:01	-1.2901300000000001e-24	2.7530500000000003e-24	-0.001	0.257702	-0.001	0.257702
