Wavelength	Intensities	
nm	a.u.	
179.22	1184.2	
179.44	1173.8	
179.65	1194.6	
179.86	1153	
180.08	1181	
180.29	1422.7	
180.51	1275.2	
180.72	1323.7	
180.94	1344.8	
181.15	1352.3	
181.37	1339.4	
181.58	1295.7	
181.79	1316.8	
182.01	1324.4	
182.22	1294.3	
182.44	1361.9	
182.65	1325	
182.87	1346.9	
183.08	1356.4	
183.29	1363.3	
183.51	1329.1	
183.72	1282.7	
183.94	1381	
184.15	1278.6	
184.37	1339.4	
184.58	1318.2	
184.79	1331.9	
185.01	1338	
185.22	1303.9	
185.44	1368.7	
185.65	1361.9	
185.86	1332.5	
186.08	1314.1	
186.29	1332.5	
186.51	1293	
186.72	1339.4	
186.94	1335.3	
187.15	1348.2	
187.36	1297	
187.58	1347.6	
187.79	1392.6	
188.01	1343.5	
188.22	1389.2	
188.43	1316.2	
188.65	1344.2	
188.86	1316.2	
189.08	1369.4	
189.29	1368.7	
189.5	1309.3	
189.72	1316.8	
189.93	1327.1	
190.15	1358.5	
190.36	1404.2	
190.57	1323.7	
190.79	1309.3	
191	1339.4	
191.22	1355.1	
191.43	1310	
191.64	1346.2	
191.86	1359.2	
192.07	1316.2	
192.29	1322.3	
192.5	1301.1	
192.71	1355.8	
192.93	1299.1	
193.14	1348.2	
193.35	1301.8	
193.57	1355.1	
193.78	1404.9	
194	1318.2	
194.21	1325.7	
194.42	1276.6	
194.64	1308.7	
194.85	1329.8	
195.07	1387.8	
195.28	1372.8	
195.49	1339.4	
195.71	1321.6	
195.92	1299.1	
196.13	1353.7	
196.35	1308	
196.56	1366	
196.78	1365.3	
196.99	1353.7	
197.2	1338	
197.42	1354.4	
197.63	1332.5	
197.84	1318.9	
198.06	1363.3	
198.27	1338.7	
198.48	1379.6	
198.7	1301.8	
198.91	1310	
199.13	1375.6	
199.34	1287.5	
199.55	1437.7	
199.77	1293.6	
199.98	1368.7	
200.19	1417.2	
200.41	1319.6	
200.62	1314.8	
200.83	1329.1	
201.05	1337.3	
201.26	1305.2	
201.47	1413.1	
201.69	1347.6	
201.9	1348.9	
202.11	1360.5	
202.33	1361.2	
202.54	1360.5	
202.76	1330.5	
202.97	1341.4	
203.18	1387.2	
203.4	1385.8	
203.61	1359.9	
203.82	1337.3	
204.04	1270.4	
204.25	1367.4	
204.46	1335.3	
204.68	1372.8	
204.89	1365.3	
205.1	1370.8	
205.32	1344.8	
205.53	1335.3	
205.74	1342.1	
205.96	1333.2	
206.17	1341.4	
206.38	1299.1	
206.6	1380.3	
206.81	1322.3	
207.02	1310.7	
207.24	1325	
207.45	1345.5	
207.66	1354.4	
207.88	1325	
208.09	1363.9	
208.3	1297	
208.52	1322.3	
208.73	1396.7	
208.94	1379.6	
209.15	1364.6	
209.37	1313.4	
209.58	1368.7	
209.79	1322.3	
210.01	1402.2	
210.22	1371.5	
210.43	1311.4	
210.65	1326.4	
210.86	1335.3	
211.07	1269.7	
211.29	1311.4	
211.5	1325.7	
211.71	1361.9	
211.93	1342.1	
212.14	1376.2	
212.35	1289.5	
212.56	1293.6	
212.78	1319.6	
212.99	1300.5	
213.2	1383.7	
213.42	1335.3	
213.63	1296.4	
213.84	1327.8	
214.06	1348.9	
214.27	1323.7	
214.48	1296.4	
214.69	1364.6	
