Wavelength	Intensities	
nm	a.u.	
179.22	1183.6	
179.44	1183.4	
179.65	1183.7	
179.86	1183	
180.08	1200.8	
180.29	1397.4	
180.51	1303.2	
180.72	1303.2	
180.94	1329.1	
181.15	1383.1	
181.37	1313.4	
181.58	1312.7	
181.79	1308.7	
182.01	1316.8	
182.22	1307.3	
182.44	1309.3	
182.65	1305.2	
182.87	1387.8	
183.08	1395.3	
183.29	1351	
183.51	1331.9	
183.72	1309.3	
183.94	1353.7	
184.15	1310.7	
184.37	1331.9	
184.58	1344.8	
184.79	1330.5	
185.01	1306.6	
185.22	1329.1	
185.44	1353.7	
185.65	1338.7	
185.86	1338	
186.08	1310.7	
186.29	1295.7	
186.51	1290.9	
186.72	1359.9	
186.94	1329.8	
187.15	1385.8	
187.36	1361.2	
187.58	1351.7	
187.79	1396	
188.01	1282.7	
188.22	1387.2	
188.43	1375.6	
188.65	1333.2	
188.86	1333.9	
189.08	1384.4	
189.29	1302.5	
189.5	1284.8	
189.72	1324.4	
189.93	1299.8	
190.15	1314.1	
190.36	1373.5	
190.57	1288.2	
190.79	1344.8	
191	1323.7	
191.22	1313.4	
191.43	1374.2	
191.64	1314.8	
191.86	1353.7	
192.07	1366	
192.29	1351.7	
192.5	1308	
192.71	1368.7	
192.93	1328.4	
193.14	1337.3	
193.35	1374.2	
193.57	1360.5	
193.78	1373.5	
194	1288.9	
194.21	1341.4	
194.42	1255.4	
194.64	1355.8	
194.85	1293	
195.07	1363.3	
195.28	1383.1	
195.49	1303.2	
195.71	1296.4	
195.92	1324.4	
196.13	1391.3	
196.35	1295.7	
196.56	1331.2	
196.78	1359.9	
196.99	1407.6	
197.2	1340.7	
197.42	1326.4	
197.63	1361.9	
197.84	1345.5	
198.06	1335.3	
198.27	1320.3	
198.48	1369.4	
198.7	1318.2	
198.91	1343.5	
199.13	1398.8	
199.34	1346.2	
199.55	1415.1	
199.77	1237.7	
199.98	1336.6	
200.19	1333.9	
200.41	1342.8	
200.62	1315.5	
200.83	1346.2	
201.05	1327.1	
201.26	1314.1	
201.47	1405.6	
201.69	1361.9	
201.9	1342.8	
202.11	1343.5	
202.33	1350.3	
202.54	1299.8	
202.76	1340.7	
202.97	1329.1	
203.18	1368.7	
203.4	1357.8	
203.61	1311.4	
203.82	1339.4	
204.04	1292.3	
204.25	1325	
204.46	1363.9	
204.68	1394	
204.89	1353	
205.1	1380.3	
205.32	1338	
205.53	1329.1	
205.74	1336.6	
205.96	1327.8	
206.17	1348.9	
206.38	1319.6	
206.6	1380.3	
206.81	1296.4	
207.02	1319.6	
207.24	1353.7	
207.45	1334.6	
207.66	1351	
207.88	1271.1	
208.09	1368.7	
208.3	1348.2	
208.52	1314.1	
208.73	1359.2	
208.94	1321.6	
209.15	1400.1	
209.37	1372.8	
209.58	1385.1	
209.79	1308	
210.01	1423.3	
210.22	1361.9	
210.43	1345.5	
210.65	1327.8	
210.86	1364.6	
211.07	1267.7	
211.29	1356.4	
211.5	1310	
211.71	1411.1	
211.93	1326.4	
212.14	1338.7	
212.35	1325.7	
212.56	1337.3	
212.78	1333.2	
212.99	1267	
213.2	1384.4	
213.42	1345.5	
213.63	1328.4	
213.84	1337.3	
214.06	1338.7	
214.27	1305.2	
214.48	1276.6	
214.69	1327.8	
214.91	1345.5	
215.12	1353.7	
215.33	1355.8	
215.55	1294.3	
215.76	1388.5	
215.97	1402.2	
216.18	1286.8	
216.4	1382.4	
216.61	1283.4	
216.82	1345.5	
217.04	1332.5	
217.25	1302.5	
217.46	1308.7	
217.67	1308.7	
217.89	1309.3	
218.1	1308.7	
218.31	1326.4	
218.53	1315.5	
218.74	1343.5	
218.95	1330.5	
219.16	1366	
219.38	1407.6	
219.59	1323.7	
219.8	1353	
220.01	1331.2	
220.23	1348.9	
220.44	1348.2	
220.65	1328.4	
220.87	1389.9	
221.08	1363.3	
221.29	1333.9	
221.5	1382.4	
221.72	1354.4	
221.93	1290.9	
222.14	1329.1	
222.35	1386.5	
222.57	1336.6	
222.78	1387.2	
222.99	1380.3	
223.2	1344.2	
223.42	1311.4	
223.63	1307.3	
223.84	1271.8	
224.05	1327.1	
224.27	1305.9	
224.48	1381	
224.69	1372.1	
224.9	1321.6	
225.12	1312.7	
225.33	1346.9	
225.54	1305.2	
225.75	1326.4	
225.97	1361.2	
226.18	1338.7	
226.39	1318.2	
226.6	1321.6	
226.82	1329.8	
227.03	1341.4	
227.24	1338	
227.45	1328.4	
227.67	1336	
227.88	1368	
228.09	1344.2	
228.3	1415.8	
228.52	1328.4	
228.73	1344.2	
228.94	1288.9	
229.15	1373.5	
229.36	1327.8	
229.58	1351	
229.79	1441.1	
230	1318.9	
230.21	1387.8	
230.43	1359.2	
230.64	1352.3	
230.85	1307.3	
231.06	1350.3	
231.28	1378.3	
231.49	1330.5	
231.7	1402.2	
231.91	1398.1	
232.12	1321.6	
232.34	1317.5	
232.55	1347.6	
232.76	1401.5	
232.97	1357.8	
233.18	1312.7	
233.4	1348.2	
233.61	1319.6	
233.82	1291.6	
234.03	1344.2	
234.25	1400.8	
234.46	1448.6	
234.67	1388.5	
234.88	1379	
235.09	1381.7	
235.31	1314.8	
235.52	1348.9	
235.73	1299.1	
235.94	1310	
236.15	1269.1	
236.37	1412.4	
236.58	1354.4	
236.79	1278.6	
237	1346.9	
237.21	1340.1	
237.43	1377.6	
237.64	1285.4	
237.85	1410.4	
238.06	1373.5	
238.27	1313.4	
238.48	1339.4	
238.7	1321.6	
238.91	1361.2	
239.12	1298.4	
239.33	1379.6	
239.54	1292.3	
239.76	1335.3	
239.97	1340.7	
240.18	1375.6	
240.39	1389.9	
240.6	1356.4	
240.82	1358.5	
241.03	1333.9	
241.24	1324.4	
241.45	1345.5	
241.66	1393.3	
241.87	1311.4	
242.09	1353	
242.3	1293	
242.51	1308	
242.72	1327.1	
242.93	1328.4	
243.14	1277.9	
243.36	1339.4	
243.57	1327.1	
243.78	1375.6	
243.99	1303.9	
244.2	1314.8	
244.41	1285.4	
244.63	1284.8	
244.84	1322.3	
245.05	1346.9	
245.26	1329.8	
245.47	1335.3	
245.68	1338	
245.9	1344.8	
246.11	1328.4	
246.32	1290.2	
246.53	1398.8	
246.74	1447.9	
246.95	1304.6	
247.16	1383.1	
247.38	1304.6	
247.59	1311.4	
247.8	1311.4	
248.01	1280.7	
248.22	1336	
248.43	1293	
248.64	1321.6	
248.86	1275.2	
249.07	1353	
249.28	1314.8	
249.49	1406.3	
249.7	1318.2	
249.91	1315.5	
250.12	1292.3	
250.34	1371.5	
250.55	1295.7	
250.76	1289.5	
250.97	1340.1	
251.18	1301.1	
251.39	1307.3	
251.6	1356.4	
251.81	1336.6	
252.03	1342.1	
252.24	1256.1	
252.45	1324.4	
252.66	1336.6	
252.87	1312.7	
253.08	1312.7	
253.29	1414.5	
253.5	1354.4	
253.72	1318.9	
253.93	1307.3	
254.14	1402.2	
254.35	1307.3	
254.56	1372.1	
254.77	1342.1	
254.98	1338.7	
255.19	1362.6	
255.41	1338.7	
255.62	1334.6	
255.83	1383.7	
256.04	1335.3	
256.25	1332.5	
256.46	1400.1	
256.67	1290.2	
256.88	1338	
257.09	1312.7	
257.31	1269.7	
257.52	1291.6	
257.73	1394	
257.94	1383.1	
258.15	1327.1	
258.36	1270.4	
258.57	1320.9	
258.78	1327.1	
258.99	1352.3	
259.2	1325.7	
259.41	1353	
259.63	1325.7	
259.84	1302.5	
260.05	1382.4	
260.26	1410.4	
260.47	1323.7	
260.68	1398.1	
260.89	1368.7	
261.1	1370.1	
261.31	1359.9	
261.52	1393.3	
261.73	1355.8	
261.95	1370.8	
262.16	1310	
262.37	1320.9	
262.58	1307.3	
262.79	1350.3	
263	1302.5	
263.21	1278.6	
263.42	1376.9	
263.63	1319.6	
263.84	1333.2	
264.05	1265	
264.26	1370.8	
264.47	1411.1	
264.69	1349.6	
264.9	1388.5	
265.11	1283.4	
265.32	1311.4	
265.53	1262.2	
265.74	1333.2	
265.95	1315.5	
266.16	1303.9	
266.37	1363.3	
266.58	1305.9	
266.79	1340.1	
267	1363.9	
267.21	1375.6	
267.42	1326.4	
267.63	1333.9	
267.84	1390.6	
268.06	1358.5	
268.27	1306.6	
268.48	1351	
268.69	1298.4	
268.9	1351	
269.11	1280	
269.32	1275.2	
269.53	1317.5	
269.74	1279.3	
269.95	1329.8	
270.16	1332.5	
270.37	1322.3	
270.58	1342.8	
270.79	1340.7	
271	1398.8	
271.21	1318.9	
271.42	1368	
271.63	1331.9	
271.84	1350.3	
272.05	1321.6	
272.26	1290.2	
272.47	1345.5	
272.68	1314.1	
272.89	1338	
273.11	1398.8	
273.32	1277.2	
273.53	1361.9	
273.74	1340.1	
273.95	1317.5	
274.16	1265	
274.37	1375.6	
274.58	1404.2	
274.79	1338.7	
275	1323.7	
275.21	1318.9	
275.42	1342.8	
275.63	1288.2	
275.84	1378.3	
276.05	1308.7	
276.26	1294.3	
276.47	1340.7	
276.68	1363.3	
276.89	1363.3	
277.1	1288.9	
277.31	1331.9	
277.52	1326.4	
277.73	1628.8	
277.94	1348.9	
278.15	1323	
278.36	1362.6	
278.57	1317.5	
278.78	1300.5	
278.99	1359.2	
279.2	1291.6	
279.41	1362.6	
279.62	1441.8	
279.83	1341.4	
280.04	1374.2	
280.25	1360.5	
280.46	1344.8	
280.67	1360.5	
280.88	1337.3	
281.09	1335.3	
281.3	1346.2	
281.51	1367.4	
281.72	1353.7	
281.93	1303.9	
282.14	1348.2	
282.35	1355.8	
282.56	1323.7	
282.77	1355.1	
282.98	1326.4	
283.19	1286.8	
283.4	1396	
283.61	1314.8	
283.82	1336.6	
284.03	1310.7	
284.24	1357.8	
284.45	1360.5	
284.66	1347.6	
284.87	1368	
285.08	1340.1	
285.29	1340.7	
285.5	1309.3	
285.71	1314.8	
285.92	1301.8	
286.12	1389.2	
286.33	1374.2	
286.54	1345.5	
286.75	1327.1	
286.96	1340.1	
287.17	1278.6	
287.38	1359.9	
287.59	1372.1	
287.8	1323	
288.01	1330.5	
288.22	1311.4	
288.43	1251.3	
288.64	1343.5	
288.85	1308	
289.06	1333.2	
289.27	1379	
289.48	1334.6	
289.69	1357.1	
289.9	1331.2	
290.11	1397.4	
290.32	1346.2	
290.53	1331.2	
290.74	1323	
290.94	1303.9	
291.15	1398.8	
291.36	1298.4	
291.57	1312.1	
291.78	1358.5	
291.99	1314.1	
292.2	1351.7	
292.41	1372.1	
292.62	1348.9	
292.83	1433.6	
293.04	1396	
293.25	1361.2	
293.46	1303.2	
293.67	1303.9	
293.88	1277.9	
294.09	1347.6	
294.29	1418.6	
294.5	1356.4	
294.71	1327.1	
294.92	1339.4	
295.13	1295	
295.34	1394	
295.55	1271.1	
295.76	1312.1	
295.97	1357.8	
296.18	1336.6	
296.39	1314.1	
296.6	1359.2	
296.81	1255.4	
297.01	1467	
297.22	1331.2	
297.43	1377.6	
297.64	1371.5	
297.85	1363.3	
298.06	1370.1	
298.27	1330.5	
298.48	1321.6	
298.69	1366.7	
298.9	1305.2	
299.11	1367.4	
299.31	1296.4	
299.52	1363.3	
299.73	1272.5	
299.94	1325	
300.15	1376.9	
300.36	1341.4	
300.57	1297.7	
300.78	1308	
300.99	1319.6	
301.2	1369.4	
301.4	1309.3	
301.61	1318.9	
301.82	1310	
302.03	1378.3	
302.24	1330.5	
302.45	1296.4	
302.66	1372.1	
302.87	1289.5	
303.08	1349.6	
303.29	1396.7	
303.49	1323	
303.7	1294.3	
303.91	1356.4	
304.12	1351.7	
304.33	1307.3	
304.54	1422.7	
304.75	1322.3	
304.96	1264.3	
305.16	1346.2	
305.37	1361.2	
305.58	1312.7	
305.79	1285.4	
306	1348.2	
306.21	1365.3	
306.42	1316.2	
306.63	1362.6	
306.83	1331.2	
307.04	1290.2	
307.25	1314.8	
307.46	1335.3	
307.67	1379.6	
307.88	1355.8	
308.09	1345.5	
308.29	1307.3	
308.5	1357.1	
308.71	1327.1	
308.92	1293	
309.13	1274.5	
309.34	1342.8	
309.55	1331.9	
309.75	1357.8	
309.96	1369.4	
310.17	1303.2	
310.38	1310	
310.59	1283.4	
310.8	1383.7	
311.01	1281.3	
311.21	1415.1	
311.42	1381	
311.63	1336	
311.84	1342.1	
312.05	1352.3	
312.26	1258.1	
312.46	1371.5	
312.67	1310	
312.88	1292.3	
313.09	1300.5	
313.3	1323.7	
313.51	1363.9	
313.71	1505.3	
313.92	1265.6	
314.13	1374.9	
314.34	1361.2	
314.55	1353	
314.76	1293.6	
314.96	1335.3	
315.17	1353	
315.38	1293	
315.59	1327.8	
315.8	1280	
316.01	1342.8	
316.21	1327.1	
316.42	1304.6	
316.63	1364.6	
316.84	1317.5	
317.05	1324.4	
317.26	1314.8	
317.46	1370.1	
317.67	1344.8	
317.88	1323.7	
318.09	1348.9	
318.3	1281.3	
318.5	1294.3	
318.71	1400.8	
318.92	1298.4	
319.13	1359.2	
319.34	1346.9	
319.54	1376.2	
319.75	1314.1	
319.96	1308	
320.17	1273.2	
320.38	1358.5	
320.58	1326.4	
320.79	1282.7	
321	1340.7	
321.21	1425.4	
321.42	1381.7	
321.62	1341.4	
321.83	1304.6	
322.04	1382.4	
322.25	1304.6	
322.46	1302.5	
322.66	1329.1	
322.87	1385.8	
323.08	1286.1	
323.29	1316.2	
323.5	1367.4	
323.7	1304.6	
323.91	1370.8	
324.12	1382.4	
324.33	1314.1	
324.53	1357.8	
324.74	1367.4	
324.95	1312.7	
325.16	1303.2	
325.37	1345.5	
325.57	1282.7	
325.78	1347.6	
325.99	1336	
326.2	1333.9	
326.4	1383.1	
326.61	1305.2	
326.82	1370.1	
327.03	1345.5	
327.24	1314.1	
327.44	1375.6	
327.65	1331.9	
327.86	1318.2	
328.07	1376.9	
328.27	1361.9	
328.48	1381	
328.69	1305.9	
328.9	1400.8	
329.1	1293.6	
329.31	1335.3	
329.52	1343.5	
329.73	1338	
329.93	1311.4	
330.14	1342.1	
330.35	1383.1	
330.56	1328.4	
330.76	1329.8	
330.97	1333.2	
331.18	1348.2	
331.39	1340.1	
331.59	1376.9	
331.8	1368.7	
332.01	1382.4	
332.22	1308	
332.42	1348.2	
332.63	1327.8	
332.84	1308.7	
333.05	1342.8	
333.25	1335.3	
333.46	1316.2	
333.67	1331.2	
333.88	1351	
334.08	1323.7	
334.29	1394.7	
334.5	1325.7	
334.7	1340.1	
334.91	1350.3	
335.12	1272.5	
335.33	1357.8	
335.53	1271.1	
335.74	1425.4	
335.95	1332.5	
336.16	1313.4	
336.36	1321.6	
336.57	1373.5	
336.78	1277.9	
336.98	1371.5	
337.19	1311.4	
337.4	1344.2	
337.61	1374.9	
337.81	1273.8	
338.02	1361.9	
338.23	1329.8	
338.43	1385.8	
338.64	1418.6	
338.85	1286.8	
339.05	1355.1	
339.26	1402.2	
339.47	1274.5	
339.68	1346.9	
339.88	1360.5	
340.09	1321.6	
340.3	1359.2	
340.5	1365.3	
340.71	1338.7	
340.92	1330.5	
341.13	1363.9	
341.33	1323	
341.54	1343.5	
341.75	1327.1	
341.95	1284.8	
342.16	1364.6	
342.37	1355.8	
342.57	1379.6	
342.78	1323	
342.99	1306.6	
343.19	1349.6	
343.4	1310	
343.61	1318.2	
343.81	1359.9	
344.02	1311.4	
344.23	1310	
344.43	1350.3	
344.64	1381.7	
344.85	1336.6	
345.06	1323	
345.26	1334.6	
345.47	1312.7	
345.68	1334.6	
345.88	1319.6	
346.09	1385.8	
346.3	1329.1	
346.5	1275.9	
346.71	1347.6	
346.92	1333.9	
347.12	1293	
347.33	1323	
347.54	1391.9	
347.74	1379.6	
347.95	1351	
348.16	1294.3	
348.36	1350.3	
348.57	1323.7	
348.78	1344.8	
348.98	1272.5	
349.19	1318.2	
349.39	1343.5	
349.6	1339.4	
349.81	1342.8	
350.01	1375.6	
350.22	1314.8	
350.43	1316.8	
350.63	1344.8	
350.84	1329.1	
351.05	1311.4	
351.25	1335.3	
351.46	1353.7	
351.67	1358.5	
351.87	1368	
352.08	1273.2	
352.29	1300.5	
352.49	1332.5	
352.7	1308.7	
352.9	1292.3	
353.11	1347.6	
353.32	1356.4	
353.52	1336.6	
353.73	1258.8	
353.94	1344.2	
354.14	1383.1	
354.35	1258.8	
354.55	1301.1	
354.76	1318.9	
354.97	1427.4	
355.17	1372.1	
355.38	1323.7	
355.59	1337.3	
355.79	1320.9	
356	1308	
356.2	1338	
356.41	1301.1	
356.62	1282	
356.82	1383.1	
357.03	1344.2	
357.24	1314.1	
357.44	1301.1	
357.65	1316.2	
357.85	1295.7	
358.06	1303.2	
358.27	1363.3	
358.47	1268.4	
358.68	1291.6	
358.88	1305.2	
359.09	1371.5	
359.3	1368.7	
359.5	1315.5	
359.71	1371.5	
359.91	1344.2	
360.12	1288.9	
360.33	1396	
360.53	1336	
360.74	1295.7	
360.94	1306.6	
361.15	1299.8	
361.36	1258.1	
361.56	1342.8	
361.77	1346.2	
361.97	1360.5	
362.18	1313.4	
362.38	1360.5	
362.59	1320.9	
362.8	1293.6	
363	1293	
363.21	1257.5	
363.41	1329.8	
363.62	1319.6	
363.83	1338	
364.03	1370.1	
364.24	1343.5	
364.44	1455.4	
364.65	1359.2	
364.85	1327.8	
365.06	1310.7	
365.27	1312.1	
365.47	1353	
365.68	1314.8	
365.88	1362.6	
366.09	1290.2	
366.29	1321.6	
366.5	1293	
366.71	1359.9	
366.91	1316.8	
367.12	1372.1	
367.32	1361.2	
367.53	1297.7	
367.73	1416.5	
367.94	1346.9	
368.14	1358.5	
368.35	1304.6	
368.56	1345.5	
368.76	1352.3	
368.97	1280	
369.17	1352.3	
369.38	1302.5	
369.58	1311.4	
369.79	1266.3	
369.99	1388.5	
370.2	1391.9	
370.4	1309.3	
370.61	1320.9	
370.82	1369.4	
371.02	1336.6	
371.23	1323.7	
371.43	1366.7	
371.64	1376.9	
371.84	1327.1	
372.05	1347.6	
372.25	1362.6	
372.46	1284.1	
372.66	1338.7	
372.87	1349.6	
373.07	1323	
373.28	1423.3	
373.48	1310	
373.69	1356.4	
373.9	1316.2	
374.1	1316.8	
374.31	1289.5	
374.51	1301.8	
374.72	1317.5	
374.92	1369.4	
375.13	1344.2	
375.33	1309.3	
375.54	1407.6	
375.74	1348.9	
375.95	1289.5	
376.15	1320.9	
376.36	1379.6	
376.56	1338.7	
376.77	1359.9	
376.97	1344.2	
377.18	1396.7	
377.38	1313.4	
377.59	1283.4	
377.79	1313.4	
378	1339.4	
378.2	1360.5	
378.41	1310.7	
378.61	1400.1	
378.82	1321.6	
379.02	1357.8	
379.23	1282	
379.43	1325.7	
379.64	1413.1	
379.84	1342.8	
380.05	1297	
380.25	1340.1	
380.46	1376.9	
380.66	1301.8	
380.87	1347.6	
381.07	1388.5	
381.28	1379	
381.48	1362.6	
381.69	1322.3	
381.89	1314.1	
382.1	1331.2	
382.3	1359.9	
382.51	1307.3	
382.71	1336	
